Sequence,PHYLUM,CLASS,ORDER,FAMILY,GENUS
S000544215,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544218,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544221,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544228,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544230,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544232,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544234,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544246,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544249,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544250,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544251,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544253,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000544262,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000546611,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000549403,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000559088,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581518,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581519,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581520,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581537,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581542,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581544,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581551,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581553,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581557,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581558,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581571,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581574,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581575,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581576,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581581,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581583,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581584,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581585,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581587,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581588,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581590,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581594,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581602,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581607,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581608,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581610,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581621,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581624,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581634,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581644,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581646,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581651,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581652,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581654,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581656,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581661,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581667,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581683,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581689,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581694,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581701,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581711,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581715,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581717,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581722,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000581729,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000587580,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000626832,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000627041,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000636350,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000639237,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000639238,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000639239,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000642235,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651796,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651814,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651818,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651839,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651841,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651844,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651847,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651853,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651854,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651861,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651863,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651864,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651867,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651871,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651873,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651876,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651877,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651879,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651885,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651889,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651891,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651892,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651894,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651899,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651906,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651909,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651918,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651920,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651922,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651929,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651930,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651932,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651933,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651945,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651946,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651951,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651957,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651961,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651963,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651975,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651979,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651980,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651986,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651990,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651991,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651996,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651997,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000651999,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652001,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652003,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652006,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652010,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652011,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652012,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652016,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652017,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652019,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652025,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652026,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652029,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652038,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652039,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652040,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652048,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652049,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652050,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652051,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652052,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652053,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652073,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652081,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652083,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652084,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652091,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652103,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652113,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652114,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652118,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652119,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652120,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652122,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652126,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652133,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652136,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652138,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652140,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652143,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652144,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652145,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652148,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652149,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652152,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652163,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652164,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652166,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652169,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652203,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652225,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652231,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652256,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652277,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652284,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652290,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652298,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652301,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652302,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652303,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652304,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652313,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652328,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652339,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652341,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652348,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652352,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652355,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652360,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652362,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652364,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652370,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652372,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652374,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652375,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652376,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652380,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652384,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652387,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652388,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652389,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652390,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652394,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652397,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652398,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652400,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652402,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652405,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652411,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652414,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652420,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652428,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652430,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652431,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652434,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652435,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652436,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652444,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652462,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652466,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652467,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652477,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652479,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652483,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652488,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652492,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652495,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652509,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652511,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652513,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652530,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652538,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652543,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652563,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652565,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652566,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652567,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652569,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652571,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652573,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652574,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652575,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652581,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652584,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652588,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652590,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652592,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652593,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652601,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000652606,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000653983,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000690801,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711017,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711020,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711023,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711025,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711026,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711038,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711041,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711042,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711043,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711047,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711049,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711050,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711053,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711055,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711059,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711061,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711062,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711065,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711066,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711072,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711074,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711076,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711077,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711078,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711082,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711088,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711089,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711091,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711634,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711635,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711639,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711640,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711641,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711642,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711646,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711647,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711648,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711650,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711653,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711656,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711657,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711658,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711660,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711662,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711663,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711664,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711666,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711667,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711670,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711672,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711674,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000711676,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000728149,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
S000728843,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
